x,y,error
-78.078255,33.78233,0
-78.072128,33.776905,0
-78.057999,33.772266,0
-78.051521,33.766533,0
-78.084206,33.787582,0
-78.076698,33.788467,0
-78.070648,33.783283,0
-78.06443,33.777866,0
-78.056892,33.778812,0
-78.05014,33.773342,0
-78.043892,33.767601,0
-78.031296,33.760754,0
-78.10453,33.808018,0
-78.100037,33.802895,0
-78.095161,33.797821,0
-78.089867,33.792725,0
-78.082497,33.793472,0
-78.075142,33.794327,0
-78.069229,33.789398,0
-78.063126,33.784222,0
-78.056,33.785278,0
-78.049927,33.779953,0
-78.042496,33.775112,0
-78.036995,33.767925,0
-78.030609,33.768108,0
-78.025208,33.762474,0
-78.018204,33.762375,0
-78.011108,33.761051,0
-78.00473,33.759499,0
-78.108894,33.812874,0
-78.101662,33.813583,0
-78.097443,33.808186,0
-78.09285,33.803276,0
-78.087898,33.798382,0
-78.080688,33.79908,0
-78.073593,33.799892,0
-78.067902,33.795216,0
-78.061913,33.790356,0
-78.055092,33.791656,0
-78.049759,33.786816,0
-78.044685,33.782017,0
-78.038437,33.782124,0
-78.03521,33.775192,0
-78.028915,33.774555,0
-78.024055,33.768463,0
-78.018471,33.769539,0
-78.012566,33.768501,0
-78.006508,33.765697,0
-78.000633,33.763504,0
-77.998581,33.757496,0
-78.113113,33.817661,0
-78.106575,33.818226,0
-78.100853,33.819977,0
-78.096947,33.816723,0
-78.094276,33.812672,0
-78.090218,33.808376,0
-78.085724,33.803745,0
-78.078804,33.804401,0
-78.072182,33.805206,0
-78.066833,33.800758,0
-78.060989,33.796272,0
-78.054787,33.797802,0
-78.048683,33.793346,0
-78.043877,33.787788,0
-78.038933,33.78896,0
-78.034134,33.78812,0
-78.031502,33.781994,0
-78.026047,33.779251,0
-78.022461,33.774376,0
-78.01609,33.774818,0
-78.010117,33.775738,0
-78.006844,33.771503,0
-78.001579,33.769695,0
-77.99633,33.766701,0
-77.99498,33.760883,0
-77.992218,33.755405,0
-77.985924,33.755005,0
-78.116653,33.82238,0
-78.110359,33.823021,0
-78.10482,33.823669,0
-78.100449,33.825821,0
-78.097282,33.823933,0
-78.095093,33.820759,0
-78.091766,33.817196,0
-78.087563,33.813438,0
-78.083466,33.808838,0
-78.076904,33.809414,0
-78.070915,33.810455,0
-78.066414,33.806099,0
-78.060783,33.802078,0
-78.056122,33.803223,0
-78.052299,33.803253,0
-78.04985,33.79916,0
-78.045685,33.798958,0
-78.042557,33.79388,0
-78.03714,33.79493,0
-78.032265,33.793472,0
-78.028633,33.78875,0
-78.024933,33.784462,0
-78.02037,33.779785,0
-78.014351,33.780525,0
-78.008179,33.781338,0
-78.003258,33.776508,0
-77.997055,33.772976,0
-77.992119,33.769253,0
-77.99157,33.764137,0
-77.98954,33.759155,0
-77.984627,33.759686,0
-77.980644,33.756565,0
-77.972504,33.756062,0
-78.120087,33.826519,0
-78.116867,33.8279,0
-78.113533,33.827309,0
-78.110313,33.828587,0
-78.106987,33.828049,0
-78.103081,33.829189,0
-78.09919,33.830936,0
-78.096291,33.828239,0
-78.0933,33.825287,0
-78.090538,33.821995,0
