x,y,error
-78.051138,34.048268,13.5106021418
-78.05706,34.045949,14.1576732657
-78.061411,34.042195,14.8617095327
-78.066787,34.042419,15.4882207335
-78.072735,34.041412,17.0894232132
-78.0374901463,34.0579860869,13.6248209926
-78.043037,34.05542,14.3282883258
-78.043953,34.048889,12.2089660674
-78.044634,34.042159,11.8225017206
-78.051145,34.040291,12.0458844963
-78.056597,34.037082,13.4494205826
-78.062085,34.034591,13.5894292363
-78.06808,34.033375,14.8337926355
-78.074438,34.032064,16.4153670654
-78.081436,34.030774,17.1033267954
-78.088935,34.02913,17.2605525203
-78.0316392347,34.0595484387,12.4673834166
-78.0339428641,34.0550156007,11.7489918195
-78.03759,34.05036,11.456381219
-78.037361,34.043591,11.4492759061
-78.038361,34.036789,14.0814748041
-78.045091,34.035286,13.3394076449
-78.05107,34.032889,12.8174271969
-78.056148,34.028605,13.4069696575
-78.062537,34.026839,13.1411941439
-78.069368,34.024522,14.0148253543
-78.076893,34.023712,15.5755525538
-78.084202,34.022502,16.6661666119
-78.091676,34.020898,17.0340511068
-78.099135,34.019129,17.0087858344
-78.0264221277,34.0598895701,9.7806417095
-78.0292524271,34.0556311593,8.2595150182
-78.0326926224,34.0510351273,7.6725517513
-78.0340830069,34.0469304942,8.7041646637
-78.0314707552,34.0432621432,12.9953303144
-78.0326464041,34.0386154382,14.4827790941
-78.0332666584,34.0328289441,14.1859419724
-78.039078,34.030548,14.5512181272
-78.044848,34.028817,14.8244280797
-78.049755,34.026817,15.0800423502
-78.050381,34.021596,15.4541629298
-78.056294,34.021078,15.1360466739
-78.062003,34.019657,14.4488722571
-78.066902,34.017401,14.487881526
-78.073215,34.01662,14.5478977324
-78.080326,34.015964,15.2728319544
-78.08733,34.014706,16.3050939222
-78.094349,34.012986,16.4056711365
-78.101212,34.011418,16.1435429083
-78.107858,34.01016,15.3776083619
-78.0186663823,34.0638553975,12.0771318855
-78.0217948713,34.0600220911,8.1543927164
-78.0245814654,34.0560223395,5.0390593612
-78.0280351883,34.0516771772,5.8823451936
-78.0295997944,34.0476473614,9.63710373
-78.0270684104,34.0447346916,14.3620250235
-78.026683283,34.0402619367,14.5861671909
-78.0280452791,34.0350934001,14.0252578669
-78.0284587515,34.0295624135,13.1353797222
-78.03299,34.026161,13.0245654178
-78.039078,34.02446,13.8626221283
-78.0444,34.022458,14.5279428096
-78.044345,34.016153,13.1782470642
-78.050523,34.015533,14.7135885518
-78.056094,34.013817,15.3413921863
-78.061781,34.012808,15.7522877075
-78.067177,34.011522,15.6064710247
-78.071596,34.009621,15.7415527261
-78.077118,34.009213,15.4463887287
-78.083539,34.008689,15.8556311353
-78.089851,34.007255,16.1576754362
-78.096384,34.005121,15.965854917
-78.103162,34.00442,16.0237160596
-78.109109,34.003241,15.385639551
-78.114289,34.001941,14.5635834417
-78.0144779026,34.0638276968,4.588848866
-78.01750691,34.0602094114,4.9184235234
-78.0198217211,34.0562203447,5.2172924086
-78.023605942,34.0522877703,6.573070667
-78.0248017516,34.0483809109,11.7996323833
-78.0228889433,34.0444696062,14.9424238763
-78.0205256444,34.0404140753,14.1107062307
-78.0229583074,34.0363454212,14.2223962332
-78.0239920821,34.0314478186,13.8966964285
-78.0235521011,34.0263370104,12.6192175721
-78.0281951901,34.0237919866,11.3546372804
-78.033539,34.01973,12.2406625337
-78.038597,34.018188,12.5484328183
-78.038193,34.012001,10.817996783
-78.041672,34.009892,11.9862814096
-78.046116,34.010188,13.2666279186
-78.050548,34.009179,13.9955441195
-78.053966,34.00707,14.2781656174
-78.058081,34.007319,14.8298308908
-78.062724,34.006336,15.1977180265
-78.067298,34.004952,15.6750940049
-78.071998,34.003826,16.1712973051
-78.075881,34.002135,16.2863893169
-78.080404,34.002575,16.1527639643
-78.085566,34.001596,16.4125562842
-78.090716,34.000225,16.2525696721
-78.094862,33.997992,16.005663657
-78.099644,33.998464,16.3272590004
-78.104991,33.997625,16.2794494976
-78.110123,33.996456,15.865299541
-78.11481,33.995136,15.3314403418
-78.11905,33.993817,14.7484769473
-78.0105174926,34.0638265193,4.3302612425
-78.0134358733,34.0604303619,3.9664482268
-78.0153146898,34.0569213794,6.8632888774
-78.0153878406,34.0534206755,12.207866354
-78.0193937035,34.0528684478,12.4691129141
-78.0205017344,34.0489140316,13.4857789369
-78.0184738947,34.0454067504,14.839516835
-78.0160101048,34.0424146716,13.1579379278
-78.0157788688,34.0387334165,11.7049989441
-78.0172963656,34.0356093489,12.5379021982
-78.0199258341,34.0326839007,13.5647556186
-78.0194232737,34.0284258705,12.061286686
-78.0189048094,34.0238000258,7.9468342885
-78.0232592366,34.0211794855,8.414523241
-78.0283710723,34.0181630563,9.9679584963
-78.033768,34.013271,10.2360994639
-78.034599,34.006828,8.1845554401
-78.038651,34.005341,9.6795281667
-78.042848,34.004429,12.070626705
-78.046917,34.003783,13.0721191793
-78.050799,34.002432,13.4012909794
-78.054935,34.001441,13.3809061057
-78.059169,34.000856,13.8821258269
-78.063526,33.999788,14.5963005462
-78.067997,33.998636,15.3348724711
-78.072404,33.997327,16.014355826
-78.077097,33.996439,16.2225904734
-78.081847,33.995828,16.0429174589
-78.086646,33.994693,16.4770816782
-78.091316,33.993211,16.3323997202
-78.096306,33.992315,16.3433063279
-78.101314,33.991943,16.6086688627
-78.106314,33.991049,16.5342585022
-78.111124,33.98989,16.1711987234
-78.115675,33.988631,15.0327343225
-78.119965,33.987396,14.3214866006
-78.078255,33.78233,-15.3691399644
-78.072128,33.776905,-15.5644600483
-78.057999,33.772266,-15.4287528586
-78.051521,33.766533,-15.4149100339
-78.0067920066,34.0638300592,9.8211027212
-78.0096096843,34.060609173,7.7382639346
-78.0113548123,34.057277383,10.1757599328
-78.0115782422,34.0539458471,11.7751766803
-78.012472349,34.0504573738,14.071481661
-78.0163853444,34.0497114113,15.1419592541
-78.0143843563,34.0465583985,14.178499011
-78.0120553377,34.0436385667,11.6906007423
-78.0120730051,34.0399903214,9.31165164
-78.012178751,34.0362852698,11.2930374803
-78.0127823888,34.0329768778,10.9903223853
-78.015736044,34.0309523637,10.6792075242
-78.015004264,34.0266577689,7.0318589343
-78.0148456735,34.0222939733,6.7130262112
-78.0189140395,34.0191136906,6.4306604876
-78.0234289154,34.016041732,6.5947585035
-78.0279730915,34.0131805627,7.7329714101
-78.02928783,34.0084214059,8.5058961311
-78.0300370389,34.003145326,9.6238393603
-78.0350537872,34.0006213613,9.3888578603
-78.0397548243,33.9993973298,10.2421540602
-78.0438514911,33.9985081216,10.9957559027
-78.0478530744,33.99754631,11.9422383848
-78.0519070453,33.996501841,11.9862995631
-78.0560520883,33.9955981376,12.0663693135
-78.060196,33.994589,13.3418325487
-78.064527,33.993513,14.2344097526
-78.068964,33.992347,15.04302688
-78.07357,33.991268,15.890333323
-78.078301,33.990322,15.7749779211
-78.083072,33.989324,15.8139139299
-78.087869,33.988119,16.4033722736
-78.092799,33.987098,16.3912700718
-78.097833,33.98641,16.5094642832
-78.102803,33.985738,16.2129410734
-78.107656,33.98478,15.5316742438
-78.112365,33.983654,14.942675991
-78.116897,33.982461,14.2276100266
-78.121247,33.981241,13.964779329
-78.124045,33.986254,14.2043325337
-78.084206,33.787582,-15.1358515014
-78.076698,33.788467,-15.2170538335
-78.070648,33.783283,-15.3680112973
-78.06443,33.777866,-15.5453373582
-78.056892,33.778812,-15.400484183
-78.05014,33.773342,-15.3996263261
-78.043892,33.767601,-15.3761786521
-78.031296,33.760754,-15.3896563083
-78.0032926716,34.0638624676,13.0906940971
-78.0059856395,34.060783242,11.4205816921
-78.0076527363,34.0576187543,12.3452795899
-78.0079552925,34.0544452883,12.7270460453
-78.0087798335,34.0511417929,12.7171837998
-78.0105493486,34.0474680306,13.1656405813
-78.0083385176,34.0447170603,13.6166341171
-78.0084367058,34.0412919237,8.6661371667
-78.0084328191,34.0375987485,9.2779327834
-78.0090333684,34.0332852927,10.336238338
-78.0113106624,34.0290444122,6.39539688
-78.0111414452,34.0246847974,6.4063800042
-78.0111979189,34.020611259,10.7452467851
-78.0150488575,34.0180253727,10.5958506465
-78.0191024158,34.0142416091,9.6360696976
-78.0237583689,34.0107004383,9.3026320011
-78.024978141,34.0055962452,11.4013287038
-78.0256434958,34.0011804909,10.765375149
-78.0298434587,33.9988068027,9.8915245484
-78.0327537618,33.9953869501,11.2158173519
-78.0368623115,33.9946751845,11.9542246741
-78.0409061427,33.9935436134,10.9889703069
-78.0449268682,33.9927225956,10.9245200499
-78.048982524,33.9917004213,11.6569589433
-78.0529900489,33.9906762859,12.321037925
-78.0571273186,33.9897164744,13.071795875
-78.0613,33.988601,13.8020667611
-78.065661,33.987483,14.4166427987
-78.070175,33.986325,15.170752862
-78.074821,33.985266,15.7643871927
-78.079613,33.984287,15.5076199841
-78.084533,33.983162,15.9905227632
-78.089479,33.982021,16.3340704886
-78.094495,33.981278,16.2802030552
-78.099524,33.980649,16.3063257769
-78.104407,33.979819,15.1069896502
-78.109176,33.978828,14.2952126287
-78.113816,33.977734,14.1199175038
-78.118324,33.976556,13.9277832008
-78.122694,33.975336,13.5518331051
-78.125449,33.98008,13.530294272
-78.10453,33.808018,-13.7647311289
-78.100037,33.802895,-13.8564986237
-78.095161,33.797821,-14.2982390594
-78.089867,33.792725,-14.6006726506
-78.082497,33.793472,-14.9670799763
-78.075142,33.794327,-15.0323077168
-78.069229,33.789398,-15.153425976
-78.063126,33.784222,-15.2837998092
-78.056,33.785278,-15.1341840521
-78.049927,33.779953,-15.3751596748
-78.042496,33.775112,-15.1734109711
-78.036995,33.767925,-15.3505796788
-78.030609,33.768108,-15.1752143078
-78.025208,33.762474,-15.1876725429
-78.018204,33.762375,-15.1755813902
